ID,Hits,Misses,False Positives,Manual Count,Auto Count,Difference,Absolute Difference,Accuracy,Absolute Difference in Accuracy,Errors,Errors per MC,Threshold,Lower Hue,Upper Hue,Pixel Size
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,Intermodes,74,113,120
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,Intermodes,74,113,130
10005_1.1_01_ARC1,19,1,3,20,22,-2,2,1.100,0.100,4,0.200,MaxEntropy,50,109,100
10005_1.1_01_ARC1,19,1,2,20,21,-1,1,1.050,0.050,3,0.150,MaxEntropy,50,109,110
10005_1.1_01_ARC1,19,1,1,20,20,0,0,1.000,0.000,2,0.100,MaxEntropy,50,109,120
10005_1.1_01_ARC1,18,2,1,20,19,1,1,0.950,0.050,3,0.150,MaxEntropy,50,109,130
10005_1.1_01_ARC1,19,1,4,20,23,-3,3,1.150,0.150,5,0.250,MaxEntropy,50,113,100
10005_1.1_01_ARC1,19,1,3,20,22,-2,2,1.100,0.100,4,0.200,MaxEntropy,50,113,110
10005_1.1_01_ARC1,19,1,1,20,20,0,0,1.000,0.000,2,0.100,MaxEntropy,50,113,120
10005_1.1_01_ARC1,18,2,1,20,19,1,1,0.950,0.050,3,0.150,MaxEntropy,50,113,130
10005_1.1_01_ARC1,17,3,1,20,18,2,2,0.900,0.100,4,0.200,MaxEntropy,58,109,100
10005_1.1_01_ARC1,17,3,0,20,17,3,3,0.850,0.150,3,0.150,MaxEntropy,58,109,110
10005_1.1_01_ARC1,17,3,0,20,17,3,3,0.850,0.150,3,0.150,MaxEntropy,58,109,120
10005_1.1_01_ARC1,17,3,0,20,17,3,3,0.850,0.150,3,0.150,MaxEntropy,58,109,130
10005_1.1_01_ARC1,17,3,1,20,18,2,2,0.900,0.100,4,0.200,MaxEntropy,58,113,100
10005_1.1_01_ARC1,17,3,1,20,18,2,2,0.900,0.100,4,0.200,MaxEntropy,58,113,110
10005_1.1_01_ARC1,17,3,0,20,17,3,3,0.850,0.150,3,0.150,MaxEntropy,58,113,120
10005_1.1_01_ARC1,17,3,0,20,17,3,3,0.850,0.150,3,0.150,MaxEntropy,58,113,130
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,MaxEntropy,66,109,100
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,MaxEntropy,66,109,110
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,MaxEntropy,66,109,120
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,MaxEntropy,66,109,130
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,MaxEntropy,66,113,100
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,MaxEntropy,66,113,110
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,MaxEntropy,66,113,120
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,MaxEntropy,66,113,130
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,MaxEntropy,74,109,100
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,MaxEntropy,74,109,110
10005_1.1_01_ARC1,12,8,0,20,12,8,8,0.600,0.400,8,0.400,MaxEntropy,74,109,120
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,MaxEntropy,74,109,130
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,MaxEntropy,74,113,100
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,MaxEntropy,74,113,110
10005_1.1_01_ARC1,13,7,0,20,13,7,7,0.650,0.350,7,0.350,MaxEntropy,74,113,120
10005_1.1_01_ARC1,12,8,0,20,12,8,8,0.600,0.400,8,0.400,MaxEntropy,74,113,130
10005_1.1_01_ARC1,20,0,7,20,27,-7,7,1.350,0.350,7,0.350,Moments,50,109,100
10005_1.1_01_ARC1,19,1,4,20,23,-3,3,1.150,0.150,5,0.250,Moments,50,109,110
10005_1.1_01_ARC1,19,1,2,20,21,-1,1,1.050,0.050,3,0.150,Moments,50,109,120
10005_1.1_01_ARC1,19,1,1,20,20,0,0,1.000,0.000,2,0.100,Moments,50,109,130
10005_1.1_01_ARC1,20,0,8,20,28,-8,8,1.400,0.400,8,0.400,Moments,50,113,100
10005_1.1_01_ARC1,19,1,5,20,24,-4,4,1.200,0.200,6,0.300,Moments,50,113,110
10005_1.1_01_ARC1,19,1,5,20,24,-4,4,1.200,0.200,6,0.300,Moments,50,113,120
10005_1.1_01_ARC1,19,1,2,20,21,-1,1,1.050,0.050,3,0.150,Moments,50,113,130
10005_1.1_01_ARC1,17,3,2,20,19,1,1,0.950,0.050,5,0.250,Moments,58,109,100
10005_1.1_01_ARC1,17,3,1,20,18,2,2,0.900,0.100,4,0.200,Moments,58,109,110
10005_1.1_01_ARC1,17,3,1,20,18,2,2,0.900,0.100,4,0.200,Moments,58,109,120
10005_1.1_01_ARC1,17,3,0,20,17,3,3,0.850,0.150,3,0.150,Moments,58,109,130
10005_1.1_01_ARC1,17,3,2,20,19,1,1,0.950,0.050,5,0.250,Moments,58,113,100
10005_1.1_01_ARC1,17,3,2,20,19,1,1,0.950,0.050,5,0.250,Moments,58,113,110
10005_1.1_01_ARC1,17,3,1,20,18,2,2,0.900,0.100,4,0.200,Moments,58,113,120
10005_1.1_01_ARC1,17,3,0,20,17,3,3,0.850,0.150,3,0.150,Moments,58,113,130
10005_1.1_01_ARC1,16,4,1,20,17,3,3,0.850,0.150,5,0.250,Moments,66,109,100
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Moments,66,109,110
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Moments,66,109,120
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Moments,66,109,130
10005_1.1_01_ARC1,16,4,2,20,18,2,2,0.900,0.100,6,0.300,Moments,66,113,100
10005_1.1_01_ARC1,16,4,1,20,17,3,3,0.850,0.150,5,0.250,Moments,66,113,110
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Moments,66,113,120
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Moments,66,113,130
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Moments,74,109,100
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Moments,74,109,110
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Moments,74,109,120
10005_1.1_01_ARC1,13,7,0,20,13,7,7,0.650,0.350,7,0.350,Moments,74,109,130
10005_1.1_01_ARC1,15,5,1,20,16,4,4,0.800,0.200,6,0.300,Moments,74,113,100
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Moments,74,113,110
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Moments,74,113,120
10005_1.1_01_ARC1,13,7,0,20,13,7,7,0.650,0.350,7,0.350,Moments,74,113,130
10005_1.1_01_ARC1,20,0,8,20,28,-8,8,1.400,0.400,8,0.400,Otsu,50,109,100
10005_1.1_01_ARC1,19,1,5,20,24,-4,4,1.200,0.200,6,0.300,Otsu,50,109,110
10005_1.1_01_ARC1,19,1,3,20,22,-2,2,1.100,0.100,4,0.200,Otsu,50,109,120
10005_1.1_01_ARC1,19,1,2,20,21,-1,1,1.050,0.050,3,0.150,Otsu,50,109,130
10005_1.1_01_ARC1,20,0,9,20,29,-9,9,1.450,0.450,9,0.450,Otsu,50,113,100
10005_1.1_01_ARC1,19,1,5,20,24,-4,4,1.200,0.200,6,0.300,Otsu,50,113,110
10005_1.1_01_ARC1,19,1,5,20,24,-4,4,1.200,0.200,6,0.300,Otsu,50,113,120
10005_1.1_01_ARC1,19,1,5,20,24,-4,4,1.200,0.200,6,0.300,Otsu,50,113,130
10005_1.1_01_ARC1,17,3,3,20,20,0,0,1.000,0.000,6,0.300,Otsu,58,109,100
10005_1.1_01_ARC1,17,3,1,20,18,2,2,0.900,0.100,4,0.200,Otsu,58,109,110
10005_1.1_01_ARC1,17,3,1,20,18,2,2,0.900,0.100,4,0.200,Otsu,58,109,120
10005_1.1_01_ARC1,17,3,1,20,18,2,2,0.900,0.100,4,0.200,Otsu,58,109,130
10005_1.1_01_ARC1,17,3,4,20,21,-1,1,1.050,0.050,7,0.350,Otsu,58,113,100
10005_1.1_01_ARC1,17,3,2,20,19,1,1,0.950,0.050,5,0.250,Otsu,58,113,110
10005_1.1_01_ARC1,17,3,2,20,19,1,1,0.950,0.050,5,0.250,Otsu,58,113,120
10005_1.1_01_ARC1,17,3,1,20,18,2,2,0.900,0.100,4,0.200,Otsu,58,113,130
10005_1.1_01_ARC1,16,4,2,20,18,2,2,0.900,0.100,6,0.300,Otsu,66,109,100
10005_1.1_01_ARC1,16,4,1,20,17,3,3,0.850,0.150,5,0.250,Otsu,66,109,110
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Otsu,66,109,120
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Otsu,66,109,130
10005_1.1_01_ARC1,16,4,2,20,18,2,2,0.900,0.100,6,0.300,Otsu,66,113,100
10005_1.1_01_ARC1,16,4,2,20,18,2,2,0.900,0.100,6,0.300,Otsu,66,113,110
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Otsu,66,113,120
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Otsu,66,113,130
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Otsu,74,109,100
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Otsu,74,109,110
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Otsu,74,109,120
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Otsu,74,109,130
10005_1.1_01_ARC1,15,5,1,20,16,4,4,0.800,0.200,6,0.300,Otsu,74,113,100
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Otsu,74,113,110
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Otsu,74,113,120
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Otsu,74,113,130
10005_1.1_01_ARC1,20,0,27,20,47,-27,27,2.350,1.350,27,1.350,Triangle,50,109,100
10005_1.1_01_ARC1,20,0,23,20,43,-23,23,2.150,1.150,23,1.150,Triangle,50,109,110
10005_1.1_01_ARC1,20,0,22,20,42,-22,22,2.100,1.100,22,1.100,Triangle,50,109,120
10005_1.1_01_ARC1,20,0,18,20,38,-18,18,1.900,0.900,18,0.900,Triangle,50,109,130
10005_1.1_01_ARC1,20,0,35,20,55,-35,35,2.750,1.750,35,1.750,Triangle,50,113,100
10005_1.1_01_ARC1,20,0,30,20,50,-30,30,2.500,1.500,30,1.500,Triangle,50,113,110
10005_1.1_01_ARC1,20,0,24,20,44,-24,24,2.200,1.200,24,1.200,Triangle,50,113,120
10005_1.1_01_ARC1,20,0,23,20,43,-23,23,2.150,1.150,23,1.150,Triangle,50,113,130
10005_1.1_01_ARC1,17,3,15,20,32,-12,12,1.600,0.600,18,0.900,Triangle,58,109,100
10005_1.1_01_ARC1,17,3,11,20,28,-8,8,1.400,0.400,14,0.700,Triangle,58,109,110
10005_1.1_01_ARC1,17,3,8,20,25,-5,5,1.250,0.250,11,0.550,Triangle,58,109,120
10005_1.1_01_ARC1,17,3,8,20,25,-5,5,1.250,0.250,11,0.550,Triangle,58,109,130
10005_1.1_01_ARC1,17,3,21,20,38,-18,18,1.900,0.900,24,1.200,Triangle,58,113,100
10005_1.1_01_ARC1,17,3,18,20,35,-15,15,1.750,0.750,21,1.050,Triangle,58,113,110
10005_1.1_01_ARC1,17,3,13,20,30,-10,10,1.500,0.500,16,0.800,Triangle,58,113,120
10005_1.1_01_ARC1,17,3,11,20,28,-8,8,1.400,0.400,14,0.700,Triangle,58,113,130
10005_1.1_01_ARC1,17,3,8,20,25,-5,5,1.250,0.250,11,0.550,Triangle,66,109,100
10005_1.1_01_ARC1,16,4,7,20,23,-3,3,1.150,0.150,11,0.550,Triangle,66,109,110
10005_1.1_01_ARC1,16,4,5,20,21,-1,1,1.050,0.050,9,0.450,Triangle,66,109,120
10005_1.1_01_ARC1,16,4,4,20,20,0,0,1.000,0.000,8,0.400,Triangle,66,109,130
10005_1.1_01_ARC1,17,3,13,20,30,-10,10,1.500,0.500,16,0.800,Triangle,66,113,100
10005_1.1_01_ARC1,16,4,10,20,26,-6,6,1.300,0.300,14,0.700,Triangle,66,113,110
10005_1.1_01_ARC1,16,4,9,20,25,-5,5,1.250,0.250,13,0.650,Triangle,66,113,120
10005_1.1_01_ARC1,16,4,8,20,24,-4,4,1.200,0.200,12,0.600,Triangle,66,113,130
10005_1.1_01_ARC1,15,5,4,20,19,1,1,0.950,0.050,9,0.450,Triangle,74,109,100
10005_1.1_01_ARC1,15,5,3,20,18,2,2,0.900,0.100,8,0.400,Triangle,74,109,110
10005_1.1_01_ARC1,15,5,2,20,17,3,3,0.850,0.150,7,0.350,Triangle,74,109,120
10005_1.1_01_ARC1,15,5,2,20,17,3,3,0.850,0.150,7,0.350,Triangle,74,109,130
10005_1.1_01_ARC1,15,5,7,20,22,-2,2,1.100,0.100,12,0.600,Triangle,74,113,100
10005_1.1_01_ARC1,15,5,7,20,22,-2,2,1.100,0.100,12,0.600,Triangle,74,113,110
10005_1.1_01_ARC1,15,5,6,20,21,-1,1,1.050,0.050,11,0.550,Triangle,74,113,120
10005_1.1_01_ARC1,15,5,5,20,20,0,0,1.000,0.000,10,0.500,Triangle,74,113,130
10005_1.1_01_ARC1,18,2,2,20,20,0,0,1.000,0.000,4,0.200,Intermodes,50,109,100
10005_1.1_01_ARC1,17,3,1,20,18,2,2,0.900,0.100,4,0.200,Intermodes,50,109,110
10005_1.1_01_ARC1,17,3,0,20,17,3,3,0.850,0.150,3,0.150,Intermodes,50,109,120
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Intermodes,50,109,130
10005_1.1_01_ARC1,19,1,2,20,21,-1,1,1.050,0.050,3,0.150,Intermodes,50,113,100
10005_1.1_01_ARC1,18,2,1,20,19,1,1,0.950,0.050,3,0.150,Intermodes,50,113,110
10005_1.1_01_ARC1,18,2,0,20,18,2,2,0.900,0.100,2,0.100,Intermodes,50,113,120
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Intermodes,50,113,130
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Intermodes,58,109,100
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Intermodes,58,109,110
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Intermodes,58,109,120
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Intermodes,58,109,130
10005_1.1_01_ARC1,17,3,0,20,17,3,3,0.850,0.150,3,0.150,Intermodes,58,113,100
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Intermodes,58,113,110
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Intermodes,58,113,120
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Intermodes,58,113,130
10005_1.1_01_ARC1,15,5,0,20,15,5,5,0.750,0.250,5,0.250,Intermodes,66,109,100
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Intermodes,66,109,110
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Intermodes,66,109,120
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Intermodes,66,109,130
10005_1.1_01_ARC1,16,4,0,20,16,4,4,0.800,0.200,4,0.200,Intermodes,66,113,100
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Intermodes,66,113,110
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Intermodes,66,113,120
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Intermodes,66,113,130
10005_1.1_01_ARC1,13,7,0,20,13,7,7,0.650,0.350,7,0.350,Intermodes,74,109,100
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,Intermodes,74,109,110
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,Intermodes,74,109,120
10005_1.1_01_ARC1,10,10,0,20,10,10,10,0.500,0.500,10,0.500,Intermodes,74,109,130
10005_1.1_01_ARC1,14,6,0,20,14,6,6,0.700,0.300,6,0.300,Intermodes,74,113,100
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,Intermodes,74,113,110
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,Intermodes,74,113,120
10005_1.1_01_ARC1,11,9,0,20,11,9,9,0.550,0.450,9,0.450,Intermodes,74,113,130
